[1543775400] LOG ROTATION: DAILY
[1543775400] LOG VERSION: 2.0
[1543775400] CURRENT SERVICE STATE: primary-server;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224705 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: primary-server;HDD_Root status;OK;HARD;1;DISK OK - free space: / 41290 MB (80% inode=99%):
[1543775400] CURRENT SERVICE STATE: primary-server;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: primary-server;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: primary-server;Nginx Status;UNKNOWN;HARD;3;NRPE: Unable to read output
[1543775400] CURRENT SERVICE STATE: primary-server;Total Processes;OK;HARD;1;PROCS OK: 345 processes
[1543775400] CURRENT SERVICE STATE: pservercluster1;CPU Load;OK;HARD;1;OK - load average: 0.80, 0.88, 0.98
[1543775400] CURRENT SERVICE STATE: pservercluster1;CPU_Procs;CRITICAL;HARD;3;CPU CRITICAL: 1 crit, 0 warn out of 311 processes
[1543775400] CURRENT SERVICE STATE: pservercluster1;Current Users;OK;HARD;1;USERS OK - 9 users currently logged in
[1543775400] CURRENT SERVICE STATE: pservercluster1;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 207824 MB (92% inode=99%):
[1543775400] CURRENT SERVICE STATE: pservercluster1;HDD_Root status;OK;HARD;1;DISK OK - free space: / 38908 MB (76% inode=99%):
[1543775400] CURRENT SERVICE STATE: pservercluster1;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: pservercluster1;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: pservercluster1;Total Processes;OK;HARD;1;PROCS OK: 311 processes
[1543775400] CURRENT SERVICE STATE: pservercluster2;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1543775400] CURRENT SERVICE STATE: pservercluster2;CPU_Procs;CRITICAL;HARD;3;CPU CRITICAL: 1 crit, 0 warn out of 320 processes
[1543775400] CURRENT SERVICE STATE: pservercluster2;Current Users;WARNING;HARD;3;USERS WARNING - 9 users currently logged in
[1543775400] CURRENT SERVICE STATE: pservercluster2;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 222121 MB (98% inode=99%):
[1543775400] CURRENT SERVICE STATE: pservercluster2;HDD_Root status;OK;HARD;1;DISK OK - free space: / 36613 MB (71% inode=98%):
[1543775400] CURRENT SERVICE STATE: pservercluster2;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: pservercluster2;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: pservercluster2;Total Processes;OK;HARD;1;PROCS OK: 319 processes
[1543775400] CURRENT SERVICE STATE: qservercluster1;CPU Load;WARNING;HARD;3;WARNING - load average: 5.85, 6.03, 6.16
[1543775400] CURRENT SERVICE STATE: qservercluster1;CPU_Procs;CRITICAL;HARD;3;CPU CRITICAL: 1 crit, 0 warn out of 309 processes
[1543775400] CURRENT SERVICE STATE: qservercluster1;Current Users;OK;HARD;1;USERS OK - 4 users currently logged in
[1543775400] CURRENT SERVICE STATE: qservercluster1;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224641 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: qservercluster1;HDD_Root status;OK;HARD;1;DISK OK - free space: / 41341 MB (80% inode=99%):
[1543775400] CURRENT SERVICE STATE: qservercluster1;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 1 process with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: qservercluster1;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: qservercluster1;Total Processes;OK;HARD;1;PROCS OK: 307 processes
[1543775400] CURRENT SERVICE STATE: qservercluster2;CPU Load;OK;HARD;1;OK - load average: 0.06, 0.06, 0.05
[1543775400] CURRENT SERVICE STATE: qservercluster2;CPU_Procs;OK;HARD;1;CPU OK: 303 processes
[1543775400] CURRENT SERVICE STATE: qservercluster2;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1543775400] CURRENT SERVICE STATE: qservercluster2;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224577 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: qservercluster2;HDD_Root status;OK;HARD;1;DISK OK - free space: / 40176 MB (78% inode=98%):
[1543775400] CURRENT SERVICE STATE: qservercluster2;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 1 process with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: qservercluster2;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: qservercluster2;Total Processes;OK;HARD;1;PROCS OK: 305 processes
[1543775400] CURRENT SERVICE STATE: secondary-server;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.12
[1543775400] CURRENT SERVICE STATE: secondary-server;CPU_Procs;OK;HARD;1;CPU OK: 345 processes
[1543775400] CURRENT SERVICE STATE: secondary-server;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1543775400] CURRENT SERVICE STATE: secondary-server;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 224704 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: secondary-server;HDD_Root status;OK;HARD;1;DISK OK - free space: / 41217 MB (80% inode=99%):
[1543775400] CURRENT SERVICE STATE: secondary-server;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: secondary-server;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: secondary-server;Total Processes;OK;HARD;1;PROCS OK: 340 processes
[1543775400] CURRENT SERVICE STATE: sig1;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1543775400] CURRENT SERVICE STATE: sig1;CPU_Procs;OK;HARD;1;CPU OK: 302 processes
[1543775400] CURRENT SERVICE STATE: sig1;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1543775400] CURRENT SERVICE STATE: sig1;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 217638 MB (96% inode=99%):
[1543775400] CURRENT SERVICE STATE: sig1;HDD_Root status;OK;HARD;1;DISK OK - free space: / 31685 MB (61% inode=98%):
[1543775400] CURRENT SERVICE STATE: sig1;LocalService-NTPD SERVICE;CRITICAL;HARD;3;PROCS CRITICAL: 0 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sig1;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sig1;Total Processes;OK;HARD;1;PROCS OK: 301 processes
[1543775400] CURRENT SERVICE STATE: sig2;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1543775400] CURRENT SERVICE STATE: sig2;CPU_Procs;OK;HARD;1;CPU OK: 298 processes
[1543775400] CURRENT SERVICE STATE: sig2;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1543775400] CURRENT SERVICE STATE: sig2;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 223442 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: sig2;HDD_Root status;OK;HARD;1;DISK OK - free space: / 37063 MB (72% inode=98%):
[1543775400] CURRENT SERVICE STATE: sig2;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 1 process with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sig2;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sig2;Total Processes;OK;HARD;1;PROCS OK: 298 processes
[1543775400] CURRENT SERVICE STATE: sig3;CPU Load;CRITICAL;HARD;3;(Return code of 255 for service 'CPU Load' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig3;CPU_Procs;CRITICAL;HARD;1;(Return code of 255 for service 'CPU_Procs' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig3;Current Users;CRITICAL;HARD;3;(Return code of 255 for service 'Current Users' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig3;HDD_Home status;CRITICAL;HARD;1;(Return code of 255 for service 'HDD_Home status' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig3;HDD_Root status;CRITICAL;HARD;3;(Return code of 255 for service 'HDD_Root status' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig3;LocalService-NTPD SERVICE;CRITICAL;HARD;1;(Return code of 255 for service 'LocalService-NTPD SERVICE' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig3;Memory;CRITICAL;HARD;3;(Return code of 255 for service 'Memory' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig3;Total Processes;CRITICAL;HARD;1;(Return code of 255 for service 'Total Processes' on host 'sig3' was out of bounds)
[1543775400] CURRENT SERVICE STATE: sig4;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1543775400] CURRENT SERVICE STATE: sig4;CPU_Procs;OK;HARD;1;CPU OK: 297 processes
[1543775400] CURRENT SERVICE STATE: sig4;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1543775400] CURRENT SERVICE STATE: sig4;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 222955 MB (99% inode=99%):
[1543775400] CURRENT SERVICE STATE: sig4;HDD_Root status;OK;HARD;1;DISK OK - free space: / 37580 MB (73% inode=98%):
[1543775400] CURRENT SERVICE STATE: sig4;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sig4;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sig4;Total Processes;OK;HARD;1;PROCS OK: 296 processes
[1543775400] CURRENT SERVICE STATE: sig5;CPU Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1543775400] CURRENT SERVICE STATE: sig5;CPU_Procs;OK;HARD;1;CPU OK: 297 processes
[1543775400] CURRENT SERVICE STATE: sig5;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1543775400] CURRENT SERVICE STATE: sig5;HDD_Home status;OK;HARD;1;DISK OK - free space: /home 221456 MB (98% inode=99%):
[1543775400] CURRENT SERVICE STATE: sig5;HDD_Root status;OK;HARD;1;DISK OK - free space: / 38849 MB (75% inode=98%):
[1543775400] CURRENT SERVICE STATE: sig5;LocalService-NTPD SERVICE;OK;HARD;1;PROCS OK: 2 processes with command name 'ntpd'
[1543775400] CURRENT SERVICE STATE: sig5;Memory;OK;HARD;1;PROCS OK: 0 processes with command name 'memory'
[1543775400] CURRENT SERVICE STATE: sig5;Total Processes;OK;HARD;1;PROCS OK: 295 processes
